phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16ab6,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16ab6,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16ab6,safe,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_166e6,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_166e6,BinCola,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_166e6,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_166e6,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,FUN_166e6,safe,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_161b0,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_161b0,BinCola,-0.117227
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_161b0,CLAP,0.025451
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_161b0,jTrans,0.295517
baseline,openssl-1.0.1c-clang-o0,clang,o0,tls1_process_heartbeat,FUN_161b0,safe,0.140341
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16320,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16320,BinCola,-0.186647
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16320,CLAP,-0.035433
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16320,jTrans,0.238668
baseline,openssl-1.0.1c-gcc-o1,gcc,o1,tls1_process_heartbeat,FUN_16320,safe,0.000000
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_set_accept_state,asm2vec,0.101932
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_set_accept_state,BinCola,0.091186
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_set_accept_state,CLAP,0.505153
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_set_accept_state,jTrans,0.372903
baseline,openssl-1.0.1c-gcc-o2,gcc,o2,tls1_process_heartbeat,SSL_set_accept_state,safe,0.249952
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_alert_code,asm2vec,0.000000
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_alert_code,BinCola,0.052530
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_alert_code,CLAP,-0.020967
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_alert_code,jTrans,0.072266
baseline,openssl-1.0.1c-gcc-o0,gcc,o0,tls1_process_heartbeat,ssl3_alert_code,safe,0.176304
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,dtls1_send_server_hello,asm2vec,0.533430
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,dtls1_send_server_hello,BinCola,0.307217
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,dtls1_send_server_hello,CLAP,0.662815
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,dtls1_send_server_hello,jTrans,0.724043
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,dtls1_send_server_hello,safe,0.691261
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16726,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16726,BinCola,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16726,CLAP,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16726,jTrans,0.000000
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,FUN_16726,safe,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_160c0,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_160c0,BinCola,-0.327434
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_160c0,CLAP,0.042370
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_160c0,jTrans,0.295517
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_160c0,safe,0.140341
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,BIO_f_ssl,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,BIO_f_ssl,BinCola,-0.176743
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,BIO_f_ssl,CLAP,0.143043
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,BIO_f_ssl,jTrans,0.047658
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,BIO_f_ssl,safe,0.103575
